Hello,It's nice to see you!
You are nice,"Thanks, you seem nice too."
You are very nice,"Thanks, you seem nice too."
How old are you?,I'm immortal dude.
What do you study?,Artificial Intelligence.
so cool,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=so cool'>so cool</a>
hello,Hey!
Hello,Hello to you!
Hey,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hey'>Hey</a>
What is a Variable?,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is a Variable?'>What is a Variable?</a>
Hello,Hi there!
Hello!,Hey!
Hello,Hello to you!
Hi ,Hello there!
How are you doing?,I am well. How are you?
I don't feel so good.,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I don't feel so good.'>I don't feel so good.</a>
How are you today?,I am well. How are you?
What is the price of coffee today?,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is the price of coffee today?'>What is the price of coffee today?</a>
Hello,Hello to you!
What time is it?,The time is now 11:31 PM EST
Hello,Hi there!
Hi,Hello there!
What day is it?,"Today is Thursday, 4/9/2020"
What time is it?,The time is now 9:48 AM EST
Who is the president of Guyana?,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is the president of Guyana?'>Who is the president of Guyana?</a>
Hello,It's nice to see you!
what do you look like?,"<img src=""https://www.anime-planet.com/images/characters/inuyasha-1492.jpg"">"
Do you have a website?,"<a href=""https://www.viz.com/inuyasha"">Inuyasha's Official Website</a>"
Good afternoon!,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good afternoon!'>Good afternoon!</a>
How are you?,I am well. How are you?
Good,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
What is your name?,ChatBot.
What are you doing?,I am a ChatBot
How do you work?,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=How do you work?'>How do you work?</a>
Hello,Hey!
Good afternoon!,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good afternoon!'>Good afternoon!</a>
Hello,Hey!
Hi,Hello there!
Hello,Hey!
hi,Hello there!
how are you?,I am well. How are you?
